timestamp,open,high,low,close,volume
1599109200000,434.98,437.12,431.0,436.43,44854.10215
1599111000000,436.4,436.9,430.0,432.0,43008.68957
1599112800000,431.98,434.7,427.66,428.66,35058.63394
1599114600000,428.73,432.75,426.0,427.63,52875.45448
1599116400000,427.68,433.16,423.7,433.05,50679.46242
1599118200000,433.05,437.84,432.56,436.89,36900.93149
1599120000000,436.9,438.76,433.59,433.66,39278.16931
1599121800000,433.66,437.2,433.39,437.04,21439.85198
1599123600000,437.04,437.37,434.45,436.16,18909.57293
1599125400000,436.17,437.68,430.6,430.81,23398.11177
1599127200000,430.81,432.55,427.16,428.08,35415.16154
1599129000000,428.11,430.4,422.0,424.68,44816.05598
1599130800000,424.76,429.33,421.67,422.61,52286.67851
1599132600000,422.59,426.27,421.0,422.65,48639.80967
1599134400000,422.68,425.65,400.0,405.45,182130.61562
1599136200000,405.58,413.96,402.07,412.41,104949.15566
1599138000000,412.41,413.81,402.5,410.84,62867.06835
1599139800000,410.85,418.89,410.14,418.56,44265.82418
1599141600000,418.56,418.77,409.05,411.36,59128.60058
1599143400000,411.34,413.54,409.08,412.46,45438.66355
1599145200000,412.4,412.4,401.0,407.59,89801.40151
1599147000000,407.58,408.9,391.01,403.64,128465.63591
1599148800000,403.56,407.72,400.39,401.62,70859.74968
1599150600000,401.71,403.1,391.42,391.88,86977.54629
1599152400000,391.95,406.08,391.82,404.11,85495.99221
1599154200000,404.1,404.6,398.4,400.27,47317.28344
1599156000000,400.26,403.37,394.0,397.47,56599.04311
1599157800000,397.47,401.4,396.86,398.26,45127.18935
1599159600000,398.27,403.84,395.64,403.63,40374.57248
1599161400000,403.62,404.7,400.01,401.47,33713.04336
1599163200000,401.43,407.51,400.9,406.61,35571.54877
1599165000000,406.61,407.53,404.02,405.89,31105.5181
1599166800000,405.9,407.0,401.65,402.9,15042.11136
1599168600000,402.9,403.07,398.35,402.36,21190.41883
1599170400000,402.4,403.65,396.69,397.91,20890.13438
1599172200000,397.9,399.38,394.52,396.0,32576.33271
1599174000000,396.0,396.1,378.16,381.47,107463.65514
1599175800000,381.47,385.9,372.0,381.4,125867.22632
1599177600000,381.35,387.81,373.71,386.35,104754.32767
1599179400000,386.29,391.48,385.62,388.67,53084.39851
1599181200000,388.67,390.5,384.85,385.71,39144.68312
1599183000000,385.67,389.89,385.26,387.4,29689.70633
1599184800000,387.4,388.1,380.14,380.42,44922.68528
1599186600000,380.35,388.15,380.25,386.7,32283.74037
1599188400000,386.69,387.9,384.55,387.39,29626.9933
1599190200000,387.39,388.55,382.4,383.25,23758.09055
1599192000000,383.25,388.87,382.75,386.16,25574.43719
1599193800000,386.16,387.56,383.45,387.21,20917.41106
1599195600000,387.2,388.18,385.0,385.76,18809.62837
1599197400000,385.8,388.82,384.2,388.11,16109.19674
1599199200000,388.1,388.6,385.55,386.6,16199.32047
1599201000000,386.6,386.66,382.47,382.7,23474.0135
1599202800000,382.65,384.85,380.77,383.46,24931.56841
1599204600000,383.46,386.78,375.0,386.01,60672.7406
1599206400000,386.0,394.94,385.85,393.45,56278.65603
1599208200000,393.41,398.0,391.83,395.65,40545.8563
1599210000000,395.66,397.68,392.5,396.44,27039.41787
1599211800000,396.45,400.21,394.6,399.86,34540.39977
1599213600000,399.85,399.85,396.5,397.92,33930.6544
1599215400000,397.91,400.0,394.54,395.0,27226.16089
1599217200000,394.99,395.88,390.5,394.34,41129.54161
1599219000000,394.35,394.82,390.17,394.63,24647.17576
1599220800000,394.63,397.37,391.95,392.23,26391.50428
1599222600000,392.24,395.75,390.85,394.57,29287.11196
1599224400000,394.59,395.89,391.65,394.66,22620.87555
1599226200000,394.66,398.7,391.24,391.25,37426.38889
1599228000000,391.25,392.97,382.0,382.95,78937.81786
1599229800000,382.97,384.87,357.0,383.05,166624.00022
1599231600000,383.05,383.24,371.5,372.77,94390.03473
1599233400000,372.77,385.44,372.77,384.34,59705.31572
1599235200000,384.34,384.95,376.27,382.23,50225.54616
1599237000000,382.17,387.93,379.75,385.06,46349.27518
1599238800000,385.06,385.26,379.36,381.66,41706.89994
1599240600000,381.66,385.71,381.4,383.61,22921.94071
1599242400000,383.55,385.0,378.09,380.11,37370.11063
1599244200000,380.11,387.38,379.53,387.24,26785.9862
1599246000000,387.25,389.7,384.76,388.66,31174.67431
1599247800000,388.67,392.59,386.19,391.24,39316.20344
1599249600000,391.27,392.53,387.13,388.88,28345.99283
1599251400000,388.88,392.05,388.36,391.12,15930.45423
1599253200000,391.17,392.71,387.45,387.89,14180.64761
1599255000000,387.9,390.81,387.66,388.25,8038.47314
1599256800000,388.25,391.87,385.78,391.59,13079.59329
1599258600000,391.59,393.1,386.7,387.4,29459.6664
1599260400000,387.4,388.36,384.19,386.48,24202.80046
1599262200000,386.46,387.97,385.15,385.26,12726.1069
1599264000000,385.3,394.19,384.18,394.13,30245.78466
1599265800000,394.2,395.0,388.4,389.38,28748.53382
1599267600000,389.37,389.37,385.47,388.02,25267.65433
1599269400000,388.03,392.8,388.02,390.9,17002.16547
1599271200000,390.83,392.3,388.2,388.51,17223.26464
1599273000000,388.5,389.85,387.09,387.95,21840.55933
1599274800000,388.05,390.94,386.12,387.48,20551.86016
1599276600000,387.5,388.95,386.28,387.19,18865.2722
1599278400000,387.19,389.38,385.5,388.11,22835.45318
1599280200000,388.11,388.37,384.73,384.85,15316.99124
1599282000000,384.85,385.8,382.12,385.35,23710.12494
1599283800000,385.35,385.4,380.74,381.84,22466.17069
1599285600000,381.79,383.94,380.87,383.25,16389.25526
1599287400000,383.26,388.21,382.52,385.95,21884.6876
1599289200000,385.95,385.96,381.58,382.36,19180.31724
1599291000000,382.35,382.43,378.31,380.61,31196.40728
1599292800000,380.6,380.6,374.74,375.42,41970.77836
1599294600000,375.44,377.7,372.6,372.72,36791.84556
1599296400000,372.78,374.9,365.8,373.61,61825.38019
1599298200000,373.62,375.75,366.34,366.53,45035.64057
1599300000000,366.52,370.95,364.08,366.29,54001.43739
1599301800000,366.3,370.1,362.25,362.88,56919.36666
1599303600000,362.89,365.6,350.76,354.22,121573.49833
1599305400000,354.34,357.26,347.42,356.01,85845.33135
1599307200000,356.05,360.65,348.0,348.03,89546.79067
1599309000000,348.03,350.13,335.01,336.43,139755.78444
1599310800000,336.42,353.53,336.0,350.92,95276.94323
1599312600000,350.87,356.83,348.8,356.76,75639.18681
1599314400000,356.76,358.77,351.58,353.35,58954.27992
1599316200000,353.35,358.77,351.97,357.34,41732.90448
1599318000000,357.35,360.0,354.69,358.51,40582.63651
1599319800000,358.5,359.15,353.72,357.31,39024.62737
1599321600000,357.31,359.58,351.78,353.04,44987.87825
1599323400000,353.06,354.3,338.62,352.27,89539.56439
1599325200000,352.18,354.19,340.0,343.37,90164.82386
1599327000000,343.45,345.14,335.13,340.34,90263.82529
1599328800000,340.34,344.91,331.73,334.76,106756.22953
1599330600000,334.63,337.15,308.42,325.58,184275.20055
1599332400000,325.59,334.74,313.56,314.52,156285.68175
1599334200000,314.63,328.19,311.12,323.31,132876.03437
1599336000000,323.31,329.9,316.24,328.01,77199.90402
1599337800000,328.01,335.3,323.16,332.29,67231.43206
1599339600000,332.29,332.37,326.06,331.69,33380.72617
1599341400000,331.69,334.24,327.36,330.82,27569.2251
1599343200000,330.86,336.49,329.54,332.87,50730.18571
1599345000000,332.9,333.25,320.03,320.23,73516.58284
1599346800000,320.29,328.7,316.6,327.47,55597.86394
1599348600000,327.5,337.9,327.21,335.01,59590.42218
1599350400000,335.04,343.08,330.28,338.21,59592.16883
1599352200000,338.2,342.5,335.28,339.32,50857.60146
1599354000000,339.29,340.5,334.34,335.65,38545.74267
1599355800000,335.66,336.79,328.91,330.13,46130.05418
